ba gai	"rowdy, unruly"
ba gia	Mother-in-law
ba gian	tram thu ba gian Odds and ends
ba giang	Three-month growth rice
ba ho	Feudal honorary rank conferred on a village's notable or rich man
ba hoa	"to brag, to boast, to prate, to blabber"
ba hoang	Princess
ba la	three-blade
ba la	"Too familiar, offensively familiar, improper"
ba la mon	(ton giao) Brahman
ba lang nhang	"Idle, worthless, meaningless, trashy"
ba lap	"nonsensical, senseless"
ba lap	disorderly
ba le	Paris
ba lo	knapsack; kit-bag
ba lon	Madam
ba mu	Village midwife
ba muoi	the thirtieth day of the lunar month
ba ngay	Three days (after burial)
ba nghiep	Suzerainty
ba ngoi	(ton giao) The trinity
ba nhac	Mother-in-law
ba phai	"Agreeing with everyone, without any opinion of one's own"
ba phuoc	"Sister, sister of charity, catholic nun"
ba quan	The whole of an army (placed under a general's command)
ba quan	all officials in the court
ba que	"Deceitful, cheating, dishonest, tricky"
ba quyen	Hegemony
ba roi	Side
ba sinh	"The three existences, eternal love"
ba tanh	"The people, the population"
ba tieu	Banana-tree
ba tre	Grandfather's concubine
ba tron	Unruly
ba tu	(dia ly) Pesia
ba tuoc	"earl, count"
ba va	"run-down, uncared-for"
ba vai	Buddhist nun
ba vai	Flat of the shoulder
ba vuong	"Suzerain, overlord"
ba xuan	(cu) Parents (whose merits are comparable with the three Spring months)
bac	"Uncle, one's father's sister-in-law"
bac	Silver
bac	North
bac	Rush
bac	"Step, rung (of a ladder)"
bac ac	"Ruthless, uncompassionate"
bac ai	Humane
bac bac	"Supercilious, haughty"
Bac ban cau	Northern hemisphere
bac ban cau	Northern hemisphere
bac be	to criticize
bac beo	"Ungrateful, thankless, unrewarding"
bac cau	"To bridge, to fill the gap"
bac co	Archaeologic
bac co thong kim	"To have a wide knowledge (of things past and present), to be erudite"
bac cua	Threshold (of a door)
bac cuc	North pole
bac dai	"To slight, to ill-treat"
Bac dau	The Great Bear
Bac dau boi tinh	Order of the Legion of honour
bac ha	"Mint, peppermint"
bac hanh	bad luck; misfortune
bac hoc	"Scholarly, learned"
bac mau	"Impoverished, exhausted, overcropped"
bac menh	(cu) Poor fate; unhappy hot
bac nam	North and South
bac nghia	ungrateful; thankless
bac nhac	Stringy meat
bac nhuoc	Feeble
bac phan	Unhappy fate; misfortune
bac phau	Spotlessly white
bac pho	All white; snowy
bac si	"Doctor, physician"
bac thay	"Masterly, master"
bac thuoc	"(tu cu, nghia cu) Chinese domination"
bac tinh	"Disloyal, unfaithful in love"
bac vat	Engineer; erudition
bac vi tuyen	North parallel
bach	cypress; cypress-tree
bach	white
bach bien	(y hoc) Vitiligo
bach bo	All-round tonic
bach bo	"to go for a stroll, to go for a constitutional, to go for a walk"
bach cau	Leucocyte
bach chi	"(thuc vat, duoc) Angelica"
bach chien	"Battle-tested, battle-seasoned"
bach chu nien	(cu) Centenery
bach cuc	Common daisy
bach cung	The white House
bach dai	"Leucorrhoea, the whites"
bach dan	Eucalyptus
bach dau khau	Cardamom
bach dau quan	Old men's militia
bach dinh	Village nobody
bach duong	"Birch, birch-tree"
bach hau	"Diphtheria, diphtheritis"
bach hoa	All kinds of goods
bach hoa	All kinds of goods
bach hop	Lily
bach huyet	Lymph
bach huyet cau	Leucocyte
bach khoa	Encyclopaedic; polytechnic
bach khoa toan thu	(cu) Encyclopaedia
bach kim	Platinum
bach lap	Tallow
bach nghe	Arts and crafts
bach ngoc	Diamond
bach nhat	Broad daylight
bach nien giai lao	To live together one hundred years old
bach phan	"Centesimal, centigrade"
bach phien	Heroin
bach qua	(thuc) Ginkgo
bach sinh	(Le bach sinh) (lich su) Hecatomb
bach tan	(thuc vat) Araucaria
bach tang	Albinism
bach thanh	Shrike (chim)
bach thao	All plants as a whole
bach tho	"(van, cu) The Moon"
bach thoai	"Pekinese, Mandarin Chinese"
bach thu	All animals as a whole
bach tinh	"The common people, the masses"
bach tuoc	"Poulp, poulpe"
bach tuyet	White snow
bach yen	"Serin, canary bird"
bai	Trowel
bai	"Tag, tablet"
bai	Bank
bai	To kotow; to bow; to salute
bai	"Paralysed, crippled"
bai bac	"To disparage, to run down"
bai ban	Ad hoc text
bai bao	Article
bai bay	Brazen
bai bien	Beach
bai biet	To take leave by kowtowing
bai binh	To cancel marching orders
bai binh	Routed troops
bai binh bo tran	"To array troops, to dispose troops in battle formation"
bai binh luan	Commentary
bai bo	"To abrogate, to declare null and void"
bai boi	Alluvial ground; warp
bai ca	"Song, hymn"
bai ca	Fishing ground
bai chan tha	"Grazing-land, Grass-land, pasture"
bai chien	"(cu) Stop hostilities, cease fighting"
bai cho	Hartal
bai chuc	"To dismiss, to relieve of office"
bai co	lawn; green; grass-land
bai cong	Strike
bai dap	To answer respectfully
bai dien van	speech; address
bai giai	"Key, solution"
bai hat	Song
bai hoai	"Limp with weariness, drooping from exhaustion"
bai hoai	"Degenerate, corrupt"
bai hoc	lesson
bai khoa	Text
bai khoa	School boycott
bai la	Playing-card
bai lam	"task, exercise, theme"
bai liet	"Paralyzed, crippled"
bai linh	To receive with a kowtow
bai lo	"To come to light, to be revealed, to be out"
bai luan	Essay; composition
bai mien	To revoke the mandate of
bai muc	Section (in a syllabus)
bai nai	To desist from; to withdraw
bai nga	"Ivory badge (worn by mandarins, indicating their grades)"
bai ngoai	Xenophobic
bai phuc	to admire; to bow in admiration
bai quan	"Routed army, routed troops"
bai sa mac	Desert
bai san	Ruined
bai ta	To thank with a kowtow
bai tap	Exercise
bai tap	Drilling ground
bai tau	Inrout; routed
bai tha ma	cematary; churchgard; burial ground
bai thai	Drump
bai than giao	Idolatry
bai tho	Poem
bai thuc	Hunger-strike
bai thuoc	Remedy
bai tiet	To excrete
bai to	"To make a thanksgiving to ancestors, to kowtow to the memories of ancestors"
